Date,Precip,Air max,min,RH max,min
20180508,0,68,54,96,68
20180509,0,71,58,92,65
20180510,0,68,58,94,72
20180511,0,61,56,87,75
20180512,0,64,54,96,64
20180513,0,68,56,87,54
20180514,0,69,55,89,65
20180515,0,69,58,83,60
20180516,0,69,58,89,59
20180517,0,66,56,92,64
20180518,0.01,65,58,89,70
20180519,0,66,58,84,72
20180520,0,66,58,91,72
20180521,0,64,57,95,68
20180522,0,66,57,85,60
20180523,0,68,57,89,71
20180524,0.01,66,58,92,70
20180525,0,69,59,84,57
20180526,0,68,56,89,60
20180527,0,70,58,83,62
20180528,0,70,59,91,66
20180529,0.01,66,59,91,77
20180530,0,68,59,92,70
20180531,0.01,70,59,96,64
20180601,0,71,58,93,61
20180602,0,73,55,96,63
20180603,0.01,73,60,94,64
20180604,0,69,60,91,73
20180605,0.02,68,60,91,70
20180606,0,70,60,87,66
20180607,0,70,58,92,63
20180608,0.04,77,56,96,59
20180609,0.01,78,62,95,54
20180610,0.02,73,61,95,65
20180611,0.04,75,61,96,64
20180612,0.04,74,61,96,66
20180613,0.03,75,61,94,66
20180614,0.02,82,63,93,57
20180615,0,75,63,90,68
20180616,0,66,61,86,71
20180617,0,69,60,84,57
20180618,0,71,61,86,57
20180619,0.02,71,61,88,68
20180620,0.02,72,60,94,73
20180621,0,72,62,92,74
20180622,0,75,62,91,70
20180623,0,66,60,94,78
20180624,0.02,70,60,89,71
20180625,0,72,61,91,67
20180626,0.01,75,60,94,64
20180627,0,74,60,94,66
20180628,0.01,70,60,88,68
20180629,0,68,61,84,73
20180630,0.01,69,60,88,68
20180701,0.01,72,61,88,64
20180702,0,75,61,90,65
20180703,0.02,73,61,91,63
20180704,0.01,75,62,91,62
20180705,0.02,82,62,93,56
20180706,0,98,60,,
20180707,0,86,68,,
20180708,0.01,86,69,,
20180709,0,82,69,92,58
20180710,0,80,67,93,54
20180711,0,79,66,94,65
20180712,0,78,68,91,68
20180713,0,80,67,91,70
20180714,0.01,79,68,93,70
20180715,0.02,79,64,94,68
20180716,0.02,78,65,93,71
20180717,0,77,66,90,74
20180718,0.02,76,65,93,71
20180719,0.01,79,65,92,67
20180720,0,76,66,92,72
20180721,0,80,68,92,63
20180722,0,84,67,90,60
20180723,0,85,67,93,59
20180724,0.23,85,67,95,63
